تاریخ,مبلغ
20140602,-62.98
20140602,-33.5
20140602,-0.067
20140530,348.4469
20140528,616.9695
20140526,-261.3
20140526,-8.643
20140522,-60.3
20140522,-13.4
20140521,-62.98
20140521,-76.983
20140519,-33.5
20140515,-6.5459
20140513,-33.5
20140513,-6.7
20140512,-9.0048
20140508,-7.6849
20140507,-29.5939
20140506,-33.5
20140506,804.0
20140505,-13.0717
20140505,-62.98
20140502,-0.469
20140430,-33.5
20140429,-6.03
20140429,-17.8153
20140428,-3.3768
20140425,-2.6733
20140425,-8.6698
20140423,160.8
20140423,-33.5
20140423,-20.8169
20140422,-15.6512
20140422,-213.7233
20140422,-27.738
20140422,-3.9865
20140417,-6.6665
20140417,-13.3665
20140417,11.5776
20140416,-13.9226
20140416,-80.4
20140415,-24.0798
20140415,-6.6799
20140414,-4.02
20140414,-18.827
20140414,-67.0
20140414,-268.0
20140411,-20.77
20140411,-2.7135
20140410,-7.8189
20140407,-16.7433
20140402,201.0
20140401,201.0
20140401,268.0
20140401,-201.0
20140401,0.0
20140310,-16.7433
20140310,-6.6665
20140303,-201.0
20140303,-0.067
20140227,-18.09
20140225,-4.757
20140224,-12.3414
20140224,-5.3265
20140220,-40.133
20140220,-42.7795
20140218,-11.122
20140218,-61.5395
20140214,-13.4
20140213,-18.09
20140211,-6.6665
20140210,-16.1403
20140206,-13.4
20140205,-11.1287
20140205,-16.7433
20140203,-163.48
20140203,-163.48
20140203,308.2
20140203,-33.5
20140203,-14.5658
20140203,-201.0
20140203,-0.067
20140129,-13.4
20140121,-13.4
20140120,-4.02
20140120,-8.509
20140120,-5.1188
20140116,-4.6163
20140115,-10.05
20140115,-16.884
20140114,-8.71
20140113,-13.4938
20140110,-23.316
20140109,-8.6296
20140108,-80.3933
20140107,-8.3214
20140103,-33.5
20140103,-4.5962
20140103,-8.0266
20140103,-14.2978
20140102,-34.773
20140102,-201.0
20131230,0.0
20131230,-0.201
20131230,-16.75
20131230,-18.09
20131230,85.9543
20131230,-20.1
20131227,-22.11
20131223,-33.5
20131217,-13.4
20131216,-2.5192
20131216,-3.819
20131216,-33.5
20131212,-19.8454
20131211,-6.6665
20131209,-4.5895
20131209,-13.4
20131209,-294.8268
20131204,-16.7433
20131204,-27.0479
20131204,-14.7735
